total_paragraphs,paragraphs_with_extractions,paragraphs_processed,selected_with_extractions,coverage,cost_savings,filtered_cost,keywords,keyword_size,dataset
15456,5462,10498,4640,0.8495056755767119,0.3207815734989647,0.3527328,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update']",38,train
15456,5462,10498,4640,0.8495056755767119,0.3207815734989647,0.3527328,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated']",39,train
15456,5462,10501,4641,0.8496887586964482,0.3205874741200828,0.35283359999999997,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade']",40,train
15456,5462,10503,4642,0.8498718418161846,0.32045807453416136,0.3529008,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper']",41,train
15456,5462,10506,4643,0.8500549249359209,0.3202639751552795,0.35300159999999997,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside']",42,train
15456,5462,10506,4643,0.8500549249359209,0.3202639751552795,0.35300159999999997,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream']",43,train
15456,5462,10508,4645,0.8504210911753937,0.3201345755693581,0.3530688,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd']",44,train
15456,5462,10632,4681,0.8570120834859026,0.31211180124223586,0.35723520000000003,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use']",45,train
15456,5462,10632,4681,0.8570120834859026,0.31211180124223586,0.35723520000000003,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used']",46,train
15456,5462,10643,4683,0.8573782497253754,0.3114001035196687,0.3576048,"['zero', 'versus', 'valuation', 'value', 'values', 'variable', 'various', 've', 'vehicle', 'vehicles', 'venture', 'version', 'vertical', 'york', 'vessels', 'vice', 'video', 'view', 'visibility', 'volatility', 'volume', 'volumes', 'vote', 'vp', 'valley', 'utilization', 'utility', 'utilities', 'understood', 'underway', 'unfortunately', 'unidentified', 'union', 'unique', 'unit', 'united', 'units', 'update', 'updated', 'upgrade', 'upper', 'upside', 'upstream', 'usd', 'use', 'used', 'using']",47,train
